City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Santa Rosa,PH,14.3122,121.1114,80.01,83,20,3.44,few clouds
1,Mataura,NZ,-46.1927,168.8643,52.43,88,99,1.88,overcast clouds
2,Codajas,BR,-3.8367,-62.0569,89.13,60,72,4.65,moderate rain
3,Melo,UY,-32.3667,-54.1833,84.94,46,0,2.1,clear sky
4,San Patricio,US,28.017,-97.5169,64.99,59,1,13.8,clear sky
5,Vaini,TO,-21.2,-175.2,77.0,94,75,10.36,light rain
6,Tarko-Sale,RU,64.9225,77.785,16.07,97,100,19.22,light snow
7,Bredasdorp,ZA,-34.5322,20.0403,69.8,52,89,10.36,overcast clouds
8,Oktyabrskoye,RU,43.0645,44.7417,26.6,100,90,2.24,overcast clouds
9,Matata,NZ,-37.8833,176.75,59.0,91,76,1.01,broken clouds
10,Mar Del Plata,AR,-38.0023,-57.5575,64.4,82,90,8.05,moderate rain
11,Avarua,CK,-21.2078,-159.775,78.8,89,2,4.61,clear sky
12,Lamar,US,33.6668,-95.5836,39.99,100,90,9.22,overcast clouds
13,Moree,AU,-29.4667,149.85,66.2,82,0,6.91,clear sky
14,Yumen,CN,40.2833,97.2,31.3,70,58,9.1,broken clouds
15,Formosa,AR,-26.1775,-58.1781,84.2,45,0,8.05,clear sky
16,Dikson,RU,73.5069,80.5464,-27.78,86,91,10.78,overcast clouds
17,Ponta Do Sol,PT,32.6667,-17.1,61.0,69,85,7.0,overcast clouds
18,Jieshi,CN,22.8134,115.8257,63.01,81,0,11.63,clear sky
19,Ayagoz,KZ,47.9714,80.4392,28.74,98,99,15.75,overcast clouds
20,Arraial Do Cabo,BR,-22.9661,-42.0278,77.0,83,75,9.22,moderate rain
21,Busselton,AU,-33.65,115.3333,63.0,98,100,14.67,overcast clouds
22,Bluff,NZ,-46.6,168.3333,54.34,89,100,4.88,overcast clouds
23,Torbay,CA,47.6666,-52.7314,34.0,59,40,33.38,scattered clouds
24,Bethel,US,41.3712,-73.414,28.0,93,90,4.61,fog
25,Ushuaia,AR,-54.8,-68.3,59.0,55,0,13.8,clear sky
26,Cooma,AU,-36.2333,149.1333,51.8,82,90,5.75,overcast clouds
27,Yellowknife,CA,62.456,-114.3525,-45.0,65,1,4.61,clear sky
28,Atuona,PF,-9.8,-139.0333,79.03,76,38,21.05,scattered clouds
29,Puerto Ayora,EC,-0.7393,-90.3518,84.2,70,0,18.41,clear sky
30,Albany,US,42.6001,-73.9662,25.0,75,100,5.53,snow
31,Saskylakh,RU,71.9167,114.0833,-38.31,78,25,11.92,scattered clouds
32,Hauterive,FR,46.0901,3.4459,44.6,61,75,8.05,broken clouds
33,Nikolskoye,RU,59.7035,30.7861,15.8,92,75,11.18,light snow
